bench,invocation,cold_mean_us,warm_mean_us
matrix-multiplication,1,59358.0,52054.2
matrix-multiplication,2,24325.2,26440.6
matrix-multiplication,3,21294.0,20105.6
matrix-multiplication,4,17418.6,16893.4
matrix-multiplication,5,26842.2,27431.4
matrix-multiplication,6,14955.0,15078.6
matrix-multiplication,7,24022.2,24687.0
matrix-multiplication,8,17265.2,17073.4
matrix-multiplication,9,27418.2,28567.0
matrix-multiplication,10,16594.6,16728.0
matrix-multiplication,11,23519.0,22177.8
matrix-multiplication,12,24452.0,20713.4
matrix-multiplication,13,20682.0,21100.4
matrix-multiplication,14,19147.0,20384.8
matrix-multiplication,15,17224.6,17633.6
matrix-multiplication,16,18865.6,16645.2
matrix-multiplication,17,27122.2,26819.0
matrix-multiplication,18,15222.0,16198.6
matrix-multiplication,19,16119.8,16449.6
matrix-multiplication,20,26220.4,26113.6
matrix-multiplication,21,17253.4,15706.0
matrix-multiplication,22,25937.2,24606.8
matrix-multiplication,23,17322.8,15269.4
matrix-multiplication,24,19602.6,17326.6
matrix-multiplication,25,17155.8,17629.6
matrix-multiplication,26,27584.4,27352.8
matrix-multiplication,27,15879.6,16898.6
matrix-multiplication,28,15336.4,14892.8
matrix-multiplication,29,23087.4,24406.2
matrix-multiplication,30,27746.8,27781.8
matrix-multiplication,31,15057.2,14954.2
matrix-multiplication,32,23834.4,21563.2
matrix-multiplication,33,26669.8,28984.0
matrix-multiplication,34,16027.2,16535.8
matrix-multiplication,35,23037.2,25757.2
matrix-multiplication,36,15364.6,15250.0
matrix-multiplication,37,15866.0,15894.0
matrix-multiplication,38,15372.2,15412.8
matrix-multiplication,39,16156.4,15750.0
matrix-multiplication,40,15890.4,15401.6
matrix-multiplication,41,25412.8,25620.4
matrix-multiplication,42,15386.8,15407.6
matrix-multiplication,43,25544.4,28529.4
matrix-multiplication,44,16560.8,15541.4
matrix-multiplication,45,16716.2,15655.2
matrix-multiplication,46,15164.6,15551.0
matrix-multiplication,47,16220.2,17113.6
matrix-multiplication,48,15429.2,16894.2
matrix-multiplication,49,23747.2,23496.0
matrix-multiplication,50,15161.0,16092.2
matrix-multiplication,51,14564.2,15023.6
matrix-multiplication,52,19705.0,20609.4
matrix-multiplication,53,15571.6,15478.2
matrix-multiplication,54,26181.6,25521.4
matrix-multiplication,55,15636.0,16381.2
matrix-multiplication,56,15842.8,15824.8
matrix-multiplication,57,22266.4,22394.8
matrix-multiplication,58,15400.8,15949.4
matrix-multiplication,59,26275.2,27703.2
matrix-multiplication,60,24919.2,23311.2
matrix-multiplication,61,27067.4,23711.4
matrix-multiplication,62,22979.4,25050.0
matrix-multiplication,63,15394.6,15219.2
matrix-multiplication,64,26407.4,26249.4
matrix-multiplication,65,15577.0,15445.2
matrix-multiplication,66,15536.0,15779.6
matrix-multiplication,67,15755.0,15631.8
matrix-multiplication,68,15108.4,15349.2
matrix-multiplication,69,14768.4,14788.8
matrix-multiplication,70,15042.8,14916.0
matrix-multiplication,71,15000.8,15478.8
matrix-multiplication,72,16335.2,16371.8
matrix-multiplication,73,14939.4,15337.4
matrix-multiplication,74,15691.0,15255.2
matrix-multiplication,75,21248.2,25473.4
matrix-multiplication,76,28048.8,26603.8
matrix-multiplication,77,15788.6,15502.6
matrix-multiplication,78,15011.0,15340.2
matrix-multiplication,79,15740.4,16002.6
matrix-multiplication,80,21487.2,26752.6
matrix-multiplication,81,14999.0,16581.2
matrix-multiplication,82,15739.6,16307.0
matrix-multiplication,83,15061.0,16702.6
matrix-multiplication,84,16440.4,16489.2
matrix-multiplication,85,16461.0,15904.6
matrix-multiplication,86,27986.2,27075.0
matrix-multiplication,87,26051.4,26264.2
matrix-multiplication,88,15648.6,16109.8
matrix-multiplication,89,25719.0,24244.4
matrix-multiplication,90,16217.2,15203.8
matrix-multiplication,91,27126.2,24826.2
matrix-multiplication,92,25879.4,23153.8
matrix-multiplication,93,15687.0,15583.6
matrix-multiplication,94,14880.8,15528.2
matrix-multiplication,95,15580.6,15278.8
matrix-multiplication,96,16732.0,15482.4
matrix-multiplication,97,14905.6,14975.8
matrix-multiplication,98,22918.2,22255.8
matrix-multiplication,99,28264.2,23188.6
matrix-multiplication,100,15223.4,14885.0
matrix-multiplication,101,15506.2,15345.8
matrix-multiplication,102,15702.0,15872.6
matrix-multiplication,103,15796.2,15666.6
matrix-multiplication,104,15176.0,15690.8
matrix-multiplication,105,16841.4,15884.6
matrix-multiplication,106,22175.0,23701.2
matrix-multiplication,107,28084.2,23292.4
matrix-multiplication,108,15800.4,17404.4
matrix-multiplication,109,15405.8,16046.4
matrix-multiplication,110,16339.6,16581.4
matrix-multiplication,111,26945.8,25367.6
matrix-multiplication,112,25438.4,23788.0
matrix-multiplication,113,15840.4,15429.0
matrix-multiplication,114,15312.4,15775.0
matrix-multiplication,115,16408.6,15512.2
matrix-multiplication,116,15505.4,14797.6
matrix-multiplication,117,17226.0,15432.4
matrix-multiplication,118,16644.4,15161.4
matrix-multiplication,119,16430.2,15898.2
matrix-multiplication,120,15816.8,15800.8
matrix-multiplication,121,16147.2,16057.2
matrix-multiplication,122,15355.6,15165.4
matrix-multiplication,123,16440.2,16060.8
matrix-multiplication,124,16551.6,15106.6
matrix-multiplication,125,26773.6,25842.6
matrix-multiplication,126,23548.8,27368.8
matrix-multiplication,127,15379.2,15470.6
matrix-multiplication,128,16697.6,15303.8
matrix-multiplication,129,16178.8,16290.0
matrix-multiplication,130,27314.2,27512.4
matrix-multiplication,131,24752.8,25138.0
matrix-multiplication,132,25514.0,26112.2
matrix-multiplication,133,15911.4,15100.4
matrix-multiplication,134,15279.6,15477.4
matrix-multiplication,135,27392.2,27515.0
matrix-multiplication,136,16279.8,15995.4
matrix-multiplication,137,15978.6,15499.4
matrix-multiplication,138,15686.0,16096.6
matrix-multiplication,139,22783.0,25842.8
matrix-multiplication,140,15862.4,15053.0
matrix-multiplication,141,15406.8,15268.8
matrix-multiplication,142,15385.4,15498.8
matrix-multiplication,143,23202.2,25823.8
matrix-multiplication,144,14405.8,14898.2
matrix-multiplication,145,14985.4,14688.6
matrix-multiplication,146,15502.6,15500.0
matrix-multiplication,147,15482.2,15833.6
matrix-multiplication,148,15101.0,14888.4
matrix-multiplication,149,15037.0,15533.8
matrix-multiplication,150,25984.8,27853.4
matrix-multiplication,151,22759.6,24079.2
matrix-multiplication,152,26563.0,24395.4
matrix-multiplication,153,22971.2,27280.4
matrix-multiplication,154,15901.4,16230.8
matrix-multiplication,155,25183.0,27650.6
matrix-multiplication,156,20925.8,24700.4
matrix-multiplication,157,26791.6,23998.0
matrix-multiplication,158,25805.0,23122.0
matrix-multiplication,159,26698.2,21565.8
matrix-multiplication,160,15748.2,15653.6
matrix-multiplication,161,16499.2,15318.8
matrix-multiplication,162,15946.0,15400.8
matrix-multiplication,163,15933.4,16276.8
matrix-multiplication,164,27136.6,22392.4
matrix-multiplication,165,15882.0,14941.2
matrix-multiplication,166,15263.2,15067.6
matrix-multiplication,167,15669.2,15849.4
matrix-multiplication,168,27074.2,27706.2
matrix-multiplication,169,16352.8,15744.8
matrix-multiplication,170,15793.4,15315.0
matrix-multiplication,171,23869.0,27229.2
matrix-multiplication,172,24548.0,23146.2
matrix-multiplication,173,15378.0,14530.8
matrix-multiplication,174,16967.0,15390.4
matrix-multiplication,175,25213.4,25485.8
matrix-multiplication,176,16038.6,15665.0
matrix-multiplication,177,15273.2,16366.0
matrix-multiplication,178,27931.8,26854.8
matrix-multiplication,179,15814.4,15205.4
matrix-multiplication,180,16227.2,15259.6
matrix-multiplication,181,15721.0,16394.0
matrix-multiplication,182,15218.6,15840.4
matrix-multiplication,183,15350.0,15199.8
matrix-multiplication,184,15493.4,15748.8
matrix-multiplication,185,15916.8,16105.6
matrix-multiplication,186,15779.2,15228.4
matrix-multiplication,187,15946.0,15413.0
matrix-multiplication,188,26515.4,27333.8
matrix-multiplication,189,16838.6,16920.8
matrix-multiplication,190,27397.6,23670.2
matrix-multiplication,191,24832.4,27622.2
matrix-multiplication,192,31319.2,25764.8
matrix-multiplication,193,22467.6,15023.4
matrix-multiplication,194,20129.6,15273.2
matrix-multiplication,195,30673.2,22417.2
matrix-multiplication,196,29556.4,25267.6
matrix-multiplication,197,18066.2,16079.6
matrix-multiplication,198,30822.4,23573.6
matrix-multiplication,199,27403.6,26069.8
matrix-multiplication,200,18115.0,15584.0
matrix-multiplication,201,20066.4,15525.2
matrix-multiplication,202,16896.4,17095.6
matrix-multiplication,203,31703.8,23592.6
matrix-multiplication,204,20321.4,16583.4
matrix-multiplication,205,18946.8,16207.0
matrix-multiplication,206,18915.6,15546.4
matrix-multiplication,207,15151.2,15720.4
matrix-multiplication,208,26150.8,23498.2
matrix-multiplication,209,17145.0,15847.0
matrix-multiplication,210,16966.0,15925.6
matrix-multiplication,211,19475.0,15122.6
matrix-multiplication,212,28510.8,23800.8
matrix-multiplication,213,16432.4,16376.0
matrix-multiplication,214,21436.4,23641.4
matrix-multiplication,215,26399.6,26453.6
matrix-multiplication,216,14921.4,14978.2
matrix-multiplication,217,24868.8,22768.8
matrix-multiplication,218,24502.8,23405.6
matrix-multiplication,219,24090.8,26096.8
matrix-multiplication,220,27030.8,27206.8
matrix-multiplication,221,27071.2,25033.6
matrix-multiplication,222,15003.6,15974.8
matrix-multiplication,223,24900.2,24250.8
matrix-multiplication,224,15754.4,15080.6
matrix-multiplication,225,27078.8,27350.6
matrix-multiplication,226,25356.8,24179.8
matrix-multiplication,227,26134.6,25813.8
matrix-multiplication,228,16119.0,15880.6
matrix-multiplication,229,24863.4,26336.2
matrix-multiplication,230,16739.0,15247.2
matrix-multiplication,231,14982.0,15476.4
matrix-multiplication,232,24038.2,25763.4
matrix-multiplication,233,16270.4,15253.6
matrix-multiplication,234,15442.2,14698.4
matrix-multiplication,235,15499.8,15184.4
matrix-multiplication,236,16125.8,15569.2
matrix-multiplication,237,15670.8,15302.6
matrix-multiplication,238,15780.6,15757.4
matrix-multiplication,239,15904.4,16362.8
matrix-multiplication,240,15095.4,15376.8
matrix-multiplication,241,26314.6,25421.0
matrix-multiplication,242,16212.4,15193.0
matrix-multiplication,243,16183.0,16550.0
matrix-multiplication,244,16165.6,16021.8
matrix-multiplication,245,26680.6,27914.6
matrix-multiplication,246,15270.6,15433.2
matrix-multiplication,247,23466.8,24779.8
matrix-multiplication,248,15958.6,15655.8
matrix-multiplication,249,15596.4,15614.8
matrix-multiplication,250,14701.0,14951.2
matrix-multiplication,251,14710.8,14847.4
matrix-multiplication,252,24296.8,23456.4
matrix-multiplication,253,15456.8,15998.4
matrix-multiplication,254,26301.4,24600.2
matrix-multiplication,255,15427.4,14849.2
matrix-multiplication,256,15146.2,15104.6
matrix-multiplication,257,16167.0,15941.2
matrix-multiplication,258,15362.8,16534.6
matrix-multiplication,259,14568.8,16572.4
matrix-multiplication,260,22173.6,31645.4
matrix-multiplication,261,15781.2,16620.4
matrix-multiplication,262,25814.4,23970.0
matrix-multiplication,263,15664.2,15523.4
matrix-multiplication,264,26318.4,25692.4
matrix-multiplication,265,15812.4,15535.0
matrix-multiplication,266,20047.8,15343.2
matrix-multiplication,267,26185.6,22686.2
matrix-multiplication,268,16355.2,15228.8
matrix-multiplication,269,17565.4,15695.8
matrix-multiplication,270,25042.2,17173.8
matrix-multiplication,271,32294.4,26846.4
matrix-multiplication,272,31817.6,24966.0
matrix-multiplication,273,15483.4,15377.6
matrix-multiplication,274,16119.4,15647.6
matrix-multiplication,275,20860.2,23373.0
matrix-multiplication,276,15410.8,15058.8
matrix-multiplication,277,15986.4,16288.4
matrix-multiplication,278,26905.8,25610.0
matrix-multiplication,279,15532.2,14889.2
matrix-multiplication,280,16465.8,15319.2
matrix-multiplication,281,27331.6,27437.6
matrix-multiplication,282,25760.6,24482.6
matrix-multiplication,283,27098.0,23604.8
matrix-multiplication,284,16792.8,16035.2
matrix-multiplication,285,15304.6,15124.8
matrix-multiplication,286,28908.0,28338.6
matrix-multiplication,287,17740.4,16913.4
matrix-multiplication,288,15444.4,15986.4
matrix-multiplication,289,16329.2,16614.0
matrix-multiplication,290,21281.8,22872.6
matrix-multiplication,291,24666.8,25189.6
matrix-multiplication,292,23523.6,26019.0
matrix-multiplication,293,15388.0,15553.0
matrix-multiplication,294,15468.0,15116.8
matrix-multiplication,295,24234.0,26097.4
matrix-multiplication,296,15719.8,15218.0
matrix-multiplication,297,15532.6,15513.2
matrix-multiplication,298,15855.8,16050.8
matrix-multiplication,299,15267.2,15803.8
matrix-multiplication,300,24424.2,26436.6
matrix-multiplication,301,27415.8,26171.0
matrix-multiplication,302,15777.8,15794.6
matrix-multiplication,303,14918.0,14946.0
matrix-multiplication,304,16000.6,15967.4
matrix-multiplication,305,24538.6,27134.2
matrix-multiplication,306,15089.6,15719.8
matrix-multiplication,307,15728.4,15249.2
matrix-multiplication,308,14838.8,14872.4
matrix-multiplication,309,14750.0,16607.6
matrix-multiplication,310,16105.6,15697.8
matrix-multiplication,311,15101.2,15764.6
matrix-multiplication,312,15165.4,18157.8
matrix-multiplication,313,15637.2,15418.2
matrix-multiplication,314,15467.2,15545.0
matrix-multiplication,315,16471.6,15997.2
matrix-multiplication,316,16721.6,15698.8
matrix-multiplication,317,15228.6,14875.8
matrix-multiplication,318,21895.0,26267.0
matrix-multiplication,319,27558.4,23666.2
matrix-multiplication,320,15661.6,15356.0
matrix-multiplication,321,14900.4,15873.4
matrix-multiplication,322,15753.2,15926.4
matrix-multiplication,323,16150.0,15012.0
matrix-multiplication,324,15181.0,15399.6
matrix-multiplication,325,15366.4,15815.4
matrix-multiplication,326,14997.8,15525.6
matrix-multiplication,327,27811.4,23994.6
matrix-multiplication,328,15710.2,15853.2
matrix-multiplication,329,14809.2,15381.8
matrix-multiplication,330,26042.2,26696.4
matrix-multiplication,331,15607.6,15536.4
matrix-multiplication,332,14638.4,15978.8
matrix-multiplication,333,16379.4,16403.6
matrix-multiplication,334,15477.6,16214.6
matrix-multiplication,335,27558.8,27102.2
matrix-multiplication,336,16180.8,16633.6
matrix-multiplication,337,21212.0,22119.0
matrix-multiplication,338,15932.0,15527.2
matrix-multiplication,339,26706.6,25318.6
matrix-multiplication,340,25411.0,26893.2
matrix-multiplication,341,15196.4,14737.6
matrix-multiplication,342,15739.8,16135.8
matrix-multiplication,343,15786.2,15818.8
matrix-multiplication,344,15040.6,16098.0
matrix-multiplication,345,16429.4,15995.6
matrix-multiplication,346,15484.0,15554.8
matrix-multiplication,347,15440.0,15672.0
matrix-multiplication,348,15904.4,14955.2
matrix-multiplication,349,15289.0,15291.0
matrix-multiplication,350,16234.2,15892.4
matrix-multiplication,351,15758.6,15678.0
matrix-multiplication,352,15726.0,15333.0
matrix-multiplication,353,24774.6,26639.0
matrix-multiplication,354,27042.0,27048.0
matrix-multiplication,355,15144.2,16190.8
matrix-multiplication,356,15982.2,15806.2
matrix-multiplication,357,15353.0,15167.2
matrix-multiplication,358,15202.6,15820.4
matrix-multiplication,359,15196.6,15191.0
matrix-multiplication,360,27564.8,24902.6
matrix-multiplication,361,22280.8,25282.8
matrix-multiplication,362,15160.2,15159.2
matrix-multiplication,363,15055.8,15541.8
matrix-multiplication,364,24319.4,25598.6
matrix-multiplication,365,15690.8,15930.0
matrix-multiplication,366,15684.4,15433.0
matrix-multiplication,367,15645.6,15190.0
matrix-multiplication,368,15596.6,15811.4
matrix-multiplication,369,15480.4,15210.0
matrix-multiplication,370,15720.0,15050.8
matrix-multiplication,371,15914.8,15795.8
matrix-multiplication,372,26812.4,26511.4
matrix-multiplication,373,14917.6,16262.2
matrix-multiplication,374,19709.4,23841.6
matrix-multiplication,375,15389.8,15329.2
matrix-multiplication,376,16244.0,16425.0
matrix-multiplication,377,15298.2,15365.8
matrix-multiplication,378,15610.4,15250.6
matrix-multiplication,379,16196.8,16109.0
matrix-multiplication,380,15562.0,15255.8
matrix-multiplication,381,15577.4,15895.0
matrix-multiplication,382,14882.2,15108.8
matrix-multiplication,383,14999.6,15189.8
matrix-multiplication,384,21710.8,23495.0
matrix-multiplication,385,27574.2,27520.2
matrix-multiplication,386,16035.0,15427.8
matrix-multiplication,387,14715.0,15211.4
matrix-multiplication,388,27510.4,27432.6
matrix-multiplication,389,20039.0,21398.0
matrix-multiplication,390,15484.0,15923.8
matrix-multiplication,391,16489.6,15843.0
matrix-multiplication,392,27341.8,23379.8
matrix-multiplication,393,28705.6,27389.2
matrix-multiplication,394,16803.0,16284.4
matrix-multiplication,395,15329.4,15077.2
matrix-multiplication,396,15762.6,16759.2
matrix-multiplication,397,14777.2,14755.2
matrix-multiplication,398,15128.6,15323.8
matrix-multiplication,399,16768.4,17007.0
matrix-multiplication,400,26113.8,26780.8
matrix-multiplication,401,15410.6,15034.2
matrix-multiplication,402,15920.2,16196.4
matrix-multiplication,403,26659.6,28060.8
matrix-multiplication,404,23864.4,24342.0
matrix-multiplication,405,15587.4,14762.4
matrix-multiplication,406,27939.8,28513.2
matrix-multiplication,407,16096.6,16030.6
matrix-multiplication,408,15798.2,16068.4
matrix-multiplication,409,23891.2,24211.2
matrix-multiplication,410,15378.6,14861.4
matrix-multiplication,411,15521.0,15381.6
matrix-multiplication,412,17351.2,15907.6
matrix-multiplication,413,15164.0,15927.4
matrix-multiplication,414,16723.2,15461.2
matrix-multiplication,415,15048.2,15612.0
matrix-multiplication,416,15855.8,15587.6
matrix-multiplication,417,15783.2,15396.8
matrix-multiplication,418,15338.0,15374.0
matrix-multiplication,419,15401.2,16460.4
matrix-multiplication,420,26928.0,25411.4
matrix-multiplication,421,15051.2,15254.2
matrix-multiplication,422,15553.8,16158.0
matrix-multiplication,423,15099.0,15031.6
matrix-multiplication,424,16196.0,14999.8
matrix-multiplication,425,25079.0,20245.2
matrix-multiplication,426,16085.8,15213.4
matrix-multiplication,427,17203.0,15527.0
matrix-multiplication,428,15354.0,15575.8
matrix-multiplication,429,15525.4,15172.6
matrix-multiplication,430,15940.0,15129.6
matrix-multiplication,431,15951.4,15322.2
matrix-multiplication,432,16049.6,15470.2
matrix-multiplication,433,15090.4,15693.6
matrix-multiplication,434,16129.0,15132.2
matrix-multiplication,435,20972.8,23309.8
matrix-multiplication,436,15074.8,15155.4
matrix-multiplication,437,16024.8,16055.8
matrix-multiplication,438,15378.0,15059.8
matrix-multiplication,439,16326.8,15197.8
matrix-multiplication,440,20873.0,25501.2
matrix-multiplication,441,28164.6,28094.2
matrix-multiplication,442,16124.8,15649.8
matrix-multiplication,443,15336.2,15749.2
matrix-multiplication,444,16068.0,15590.8
matrix-multiplication,445,21982.6,22551.2
matrix-multiplication,446,16296.8,15826.8
matrix-multiplication,447,15464.6,15328.0
matrix-multiplication,448,15305.4,15123.0
matrix-multiplication,449,15919.8,15157.2
matrix-multiplication,450,16293.0,15219.8
matrix-multiplication,451,26087.8,21944.8
matrix-multiplication,452,15459.6,15355.2
matrix-multiplication,453,23661.2,20359.8
matrix-multiplication,454,23149.0,23146.6
matrix-multiplication,455,16475.4,15484.0
matrix-multiplication,456,15558.6,14741.2
matrix-multiplication,457,21194.0,22372.6
matrix-multiplication,458,15406.6,15378.2
matrix-multiplication,459,16057.6,15751.6
matrix-multiplication,460,15601.4,15559.8
matrix-multiplication,461,21735.8,21447.0
matrix-multiplication,462,15250.6,15616.0
matrix-multiplication,463,21470.6,24796.4
matrix-multiplication,464,26635.2,23602.4
matrix-multiplication,465,15595.0,15636.0
matrix-multiplication,466,25210.0,24527.8
matrix-multiplication,467,15883.8,14940.6
matrix-multiplication,468,15317.0,15120.2
matrix-multiplication,469,15548.0,16095.8
matrix-multiplication,470,15720.8,15037.4
matrix-multiplication,471,24957.6,24836.0
matrix-multiplication,472,17908.4,15627.0
matrix-multiplication,473,21572.4,24974.6
matrix-multiplication,474,14839.8,15839.6
matrix-multiplication,475,26261.0,27345.0
matrix-multiplication,476,24164.6,25654.4
matrix-multiplication,477,15474.4,15653.2
matrix-multiplication,478,15554.2,14872.8
matrix-multiplication,479,15700.6,15588.8
matrix-multiplication,480,15795.8,15188.4
matrix-multiplication,481,15728.8,15576.4
matrix-multiplication,482,27100.0,23158.2
matrix-multiplication,483,22600.2,26442.8
matrix-multiplication,484,15460.0,15592.6
matrix-multiplication,485,15786.4,15633.8
matrix-multiplication,486,27590.0,27143.6
matrix-multiplication,487,16036.4,16571.0
matrix-multiplication,488,16134.8,15729.4
matrix-multiplication,489,16112.8,15852.2
matrix-multiplication,490,15775.8,15408.8
matrix-multiplication,491,15768.4,15705.2
matrix-multiplication,492,25967.4,24485.4
matrix-multiplication,493,15965.8,15423.6
matrix-multiplication,494,15651.2,15761.6
matrix-multiplication,495,21554.2,21874.0
matrix-multiplication,496,24523.8,23797.2
matrix-multiplication,497,15380.2,15871.6
matrix-multiplication,498,16238.6,15061.8
matrix-multiplication,499,24838.4,25187.8
matrix-multiplication,500,15272.8,14858.8
